NO CAMERA PICTURE
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
Direction: 6.75 X: -1
